userName,content,score,at,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
Muhammad Adin,gua yang cuma liat dinonaktifkan... gimana dengan si pembuat konten yang gua liat? app sepi sok sok suci,1,2025-04-30 13:00:14,gua yang cuma liat dinonaktifkan gimana dengan si pembuat konten yang gua liat app sepi sok sok suci,gua yang cuma liat dinonaktifkan gimana dengan si pembuat konten yang gua liat app sepi sok sok suci,gua yang cuma lihat dinonaktifkan bagaimana dengan sih pembuat konten yang gua lihat app sepi sok sok suci,"['gua', 'yang', 'cuma', 'lihat', 'dinonaktifkan', 'bagaimana', 'dengan', 'sih', 'pembuat', 'konten', 'yang', 'gua', 'lihat', 'app', 'sepi', 'sok', 'sok', 'suci']","['gua', 'lihat', 'dinonaktifkan', 'sih', 'pembuat', 'konten', 'gua', 'lihat', 'app', 'sepi', 'sok', 'sok', 'suci']",gua lihat nonaktif sih buat konten gua lihat app sepi sok sok suci
Fara fahira Fadia,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat 2005 gk bisa 1900 gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,1,2025-04-30 12:59:32,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat  gk bisa  gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat  gk bisa  gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,bagaimana sih cara masuk nya sudah buat tanggal lahir tidak bisa masuk buat tidak bisa tidak bisa tidak jelas apk nya semoga di betul kan lagi ya min pinterest,"['bagaimana', 'sih', 'cara', 'masuk', 'nya', 'sudah', 'buat', 'tanggal', 'lahir', 'tidak', 'bisa', 'masuk', 'buat', 'tidak', 'bisa', 'tidak', 'bisa', 'tidak', 'jelas', 'apk', 'nya', 'semoga', 'di', 'betul', 'kan', 'lagi', 'ya', 'min', 'pinterest']","['sih', 'masuk', 'nya', 'tanggal', 'lahir', 'masuk', 'apk', 'nya', 'semoga', 'ya', 'min', 'pinterest']",sih masuk nya tanggal lahir masuk apk nya moga ya min pinterest
Faeyza Bagas,daftar umur nya udah berapa kali tapi gak bisa,3,2025-04-30 12:39:12,daftar umur nya udah berapa kali tapi gak bisa,daftar umur nya udah berapa kali tapi gak bisa,daftar umur ya sudah berapa kali tapi tidak bisa,"['daftar', 'umur', 'ya', 'sudah', 'berapa', 'kali', 'tapi', 'tidak', 'bisa']","['daftar', 'umur', 'ya', 'kali']",daftar umur ya kali
mes,ai slop,1,2025-04-30 12:36:54,ai slop,ai slop,ai slop,"['ai', 'slop']","['ai', 'slop']",ai slop
Ahmad Haizunnajah Ijun aja,baguss,5,2025-04-30 12:35:44,baguss,baguss,bagus,['bagus'],['bagus'],bagus
uɐɯıɐןns,sangat memuaskan apk ini 😇😇😇,5,2025-04-30 12:11:23,sangat memuaskan apk ini ,sangat memuaskan apk ini ,sangat memuaskan apk ini,"['sangat', 'memuaskan', 'apk', 'ini']","['memuaskan', 'apk']",muas apk
Kacer Mania,"Halo pinterest,aku suka sih sama apk nyaaa,tapi gimana ya sekarang gak bisa masuk lagiii,kaya tentang masalah akun gitu lah,atau aku ke blokir atau apa? soalnya kaya ga bisa gitu dari ulang kaya login baruuu,pdahal aku udh loginn,pas aku coba login lagi,aku gabisaa,gimana ya? tolong dong,butuh bgt buat ref gambar🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",1,2025-04-30 12:02:04,Halo pinterestaku suka sih sama apk nyaaatapi gimana ya sekarang gak bisa masuk lagiiikaya tentang masalah akun gitu lahatau aku ke blokir atau apa soalnya kaya ga bisa gitu dari ulang kaya login baruuupdahal aku udh loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh bgt buat ref gambar,halo pinterestaku suka sih sama apk nyaaatapi gimana ya sekarang gak bisa masuk lagiiikaya tentang masalah akun gitu lahatau aku ke blokir atau apa soalnya kaya ga bisa gitu dari ulang kaya login baruuupdahal aku udh loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh bgt buat ref gambar,halo pinterestaku suka sih sama apk nyaaatapi bagaimana ya sekarang tidak bisa masuk lagiiikaya tentang masalah akun begitu lahatau aku ke blokir atau apa soalnya kayak tidak bisa begitu dari ulang kayak login baruuupdahal aku sudah loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh banget buat ref gambar,"['halo', 'pinterestaku', 'suka', 'sih', 'sama', 'apk', 'nyaaatapi', 'bagaimana', 'ya', 'sekarang', 'tidak', 'bisa', 'masuk', 'lagiiikaya', 'tentang', 'masalah', 'akun', 'begitu', 'lahatau', 'aku', 'ke', 'blokir', 'atau', 'apa', 'soalnya', 'kayak', 'tidak', 'bisa', 'begitu', 'dari', 'ulang', 'kayak', 'login', 'baruuupdahal', 'aku', 'sudah', 'loginnpas', 'aku', 'coba', 'login', 'lagiaku', 'gabisaagimana', 'ya', 'tolong', 'dongbutuh', 'banget', 'buat', 'ref', 'gambar']","['halo', 'pinterestaku', 'suka', 'sih', 'apk', 'nyaaatapi', 'ya', 'masuk', 'lagiiikaya', 'akun', 'lahatau', 'blokir', 'kayak', 'ulang', 'kayak', 'login', 'baruuupdahal', 'loginnpas', 'coba', 'login', 'lagiaku', 'gabisaagimana', 'ya', 'tolong', 'dongbutuh', 'banget', 'ref', 'gambar']",halo pinterestaku suka sih apk nyaaatapi ya masuk lagiiikaya akun lahatau blokir kayak ulang kayak login baruuupdahal loginnpas coba login lagiaku gabisaagimana ya tolong dongbutuh banget ref gambar
eldeanda apryloisa,"UNTUK REFERENSI, TERMASUK FOTO KARTUN & BIAS KOMPLIT ♡",5,2025-04-30 11:04:02,UNTUK REFERENSI TERMASUK FOTO KARTUN  BIAS KOMPLIT ,untuk referensi termasuk foto kartun  bias komplit ,untuk referensi termasuk foto kartun bias komplit,"['untuk', 'referensi', 'termasuk', 'foto', 'kartun', 'bias', 'komplit']","['referensi', 'foto', 'kartun', 'bias', 'komplit']",referensi foto kartun bias komplit
Pribadi Akbar,😁😋,5,2025-04-30 10:20:23,,,,[],[],
Kesya 123,jelek,1,2025-04-30 09:57:41,jelek,jelek,jelek,['jelek'],['jelek'],jelek
Risto gaber,mantap jg TPI kenapa skarang banyak iklanya y,5,2025-04-30 09:57:17,mantap jg TPI kenapa skarang banyak iklanya y,mantap jg tpi kenapa skarang banyak iklanya y,mantap juga tapi kenapa sekarang banyak iklanya ya,"['mantap', 'juga', 'tapi', 'kenapa', 'sekarang', 'banyak', 'iklanya', 'ya']","['mantap', 'iklanya', 'ya']",mantap iklanya ya
siswanto ramelan,pinterest sangat membantu pekerjaan kami sebagai design batik. terima kasih pinterest..,5,2025-04-30 09:51:18,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,"['pinterest', 'sangat', 'membantu', 'pekerjaan', 'kami', 'sebagai', 'design', 'batik', 'terima', 'kasih', 'pinterest']","['pinterest', 'membantu', 'pekerjaan', 'design', 'batik', 'terima', 'kasih', 'pinterest']",pinterest bantu kerja design batik terima kasih pinterest
Poniati Poniati,"KENAPA PAS SAYA MASUK DAN BIKIN AKU GAK BISA TERUS,SAYA SUDAH MENGULANGINYA SAMPAI 13 KALI LOH",1,2025-04-30 08:40:34,KENAPA PAS SAYA MASUK DAN BIKIN AKU GAK BISA TERUSSAYA SUDAH MENGULANGINYA SAMPAI  KALI LOH,kenapa pas saya masuk dan bikin aku gak bisa terussaya sudah mengulanginya sampai  kali loh,kenapa pas saya masuk dan bikin aku tidak bisa terussaya sudah mengulanginya sampai kali loh,"['kenapa', 'pas', 'saya', 'masuk', 'dan', 'bikin', 'aku', 'tidak', 'bisa', 'terussaya', 'sudah', 'mengulanginya', 'sampai', 'kali', 'loh']","['pas', 'masuk', 'bikin', 'terussaya', 'mengulanginya', 'kali', 'loh']",pas masuk bikin terussaya ulang kali loh
Ricky saputra,mantappp,5,2025-04-30 07:59:31,mantappp,mantappp,mantap,['mantap'],['mantap'],mantap
Arjuna Ari,mantap,5,2025-04-30 07:55:58,mantap,mantap,mantap,['mantap'],['mantap'],mantap
Hafizah Nurul Khazanah,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,5,2025-04-30 06:57:16,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww aplikasi ini sangat bagus bisa membantu saya kan hobinya menggambar jadi aplikasi ini coba untuk aku aplikasi ini juga bisa mengedit foto saya suka aplikasi ini cocok untuk mencari infirasi,"['waoowwww', 'aplikasi', 'ini', 'sangat', 'bagus', 'bisa', 'membantu', 'saya', 'kan', 'hobinya', 'menggambar', 'jadi', 'aplikasi', 'ini', 'coba', 'untuk', 'aku', 'aplikasi', 'ini', 'juga', 'bisa', 'mengedit', 'foto', 'saya', 'suka', 'aplikasi', 'ini', 'cocok', 'untuk', 'mencari', 'infirasi']","['waoowwww', 'aplikasi', 'bagus', 'membantu', 'hobinya', 'menggambar', 'aplikasi', 'coba', 'aplikasi', 'mengedit', 'foto', 'suka', 'aplikasi', 'cocok', 'mencari', 'infirasi']",waoowwww aplikasi bagus bantu hobi gambar aplikasi coba aplikasi edit foto suka aplikasi cocok cari infirasi
Nabil fayyadh,temen gw suka PP nya🙏🗿👍,5,2025-04-30 06:45:14,temen gw suka PP nya,temen gw suka pp nya,teman gue suka pp ya,"['teman', 'gue', 'suka', 'pp', 'ya']","['teman', 'gue', 'suka', 'pp', 'ya']",teman gue suka pp ya
Sri Fanaya,gak bisa di daftar,1,2025-04-30 06:38:07,gak bisa di daftar,gak bisa di daftar,tidak bisa di daftar,"['tidak', 'bisa', 'di', 'daftar']",['daftar'],daftar
anya forger,"apk nya bagus buat nyari banyak gambar, tapi setelah di update kok malah eror.. kadang buat save gambar ga bisa, ga ke save. tolong diperbaiki, suka kesel sendiri kalau gabisa di save gitu",5,2025-04-30 05:14:39,apk nya bagus buat nyari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar ga bisa ga ke save tolong diperbaiki suka kesel sendiri kalau gabisa di save gitu,apk nya bagus buat nyari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar ga bisa ga ke save tolong diperbaiki suka kesel sendiri kalau gabisa di save gitu,apk ya bagus buat mencari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar tidak bisa tidak ke save tolong diperbaiki suka kesel sendiri kalau di save begitu,"['apk', 'ya', 'bagus', 'buat', 'mencari', 'banyak', 'gambar', 'tapi', 'setelah', 'di', 'update', 'kok', 'malah', 'eror', 'kadang', 'buat', 'save', 'gambar', 'tidak', 'bisa', 'tidak', 'ke', 'save', 'tolong', 'diperbaiki', 'suka', 'kesel', 'sendiri', 'kalau', 'di', 'save', 'begitu']","['apk', 'ya', 'bagus', 'mencari', 'gambar', 'update', 'eror', 'kadang', 'save', 'gambar', 'save', 'tolong', 'diperbaiki', 'suka', 'kesel', 'save']",apk ya bagus cari gambar update eror kadang save gambar save tolong baik suka kesel save
hakim 2810,"kalau habis mengunduh gambar sering kepencet bagikan, tolong fitur habis download GK usah ada pop up",1,2025-04-30 04:18:37,kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download GK usah ada pop up,kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download gk usah ada pop up,kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download tidak usah ada pop up,"['kalau', 'habis', 'mengunduh', 'gambar', 'sering', 'kepencet', 'bagikan', 'tolong', 'fitur', 'habis', 'download', 'tidak', 'usah', 'ada', 'pop', 'up']","['habis', 'mengunduh', 'gambar', 'kepencet', 'bagikan', 'tolong', 'fitur', 'habis', 'download', 'pop', 'up']",habis unduh gambar pencet bagi tolong fitur habis download pop up
kayla aliyarni,bagus aplikasi nya,5,2025-04-30 04:16:41,bagus aplikasi nya,bagus aplikasi nya,bagus aplikasi ya,"['bagus', 'aplikasi', 'ya']","['bagus', 'aplikasi', 'ya']",bagus aplikasi ya
Meliana kharisma Putri,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,5,2025-04-30 03:27:55,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,mencari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pakai buat gambar,"['mencari', 'referensi', 'mudahh', 'banget', 'apalagi', 'di', 'sini', 'banyak', 'contoh', 'yang', 'bisa', 'di', 'pakai', 'buat', 'gambar']","['mencari', 'referensi', 'mudahh', 'banget', 'contoh', 'pakai', 'gambar']",cari referensi mudahh banget contoh pakai gambar
RAMZI_PASYA Ramzi,mengesankan 👍👍👍,5,2025-04-30 03:12:11,mengesankan ,mengesankan ,mengesankan,['mengesankan'],['mengesankan'],kesan
Ai teuis Sumiyati 94,knapa ga bisa meng instal beri jawaban,5,2025-04-30 02:52:14,knapa ga bisa meng instal beri jawaban,knapa ga bisa meng instal beri jawaban,knapa tidak bisa meng instal beri jawaban,"['knapa', 'tidak', 'bisa', 'meng', 'instal', 'beri', 'jawaban']","['knapa', 'meng', 'instal']",knapa meng instal
Ghaitsa Ku,bagus tpi ad fto yang aneh aneh,4,2025-04-30 02:26:31,bagus tpi ad fto yang aneh aneh,bagus tpi ad fto yang aneh aneh,bagus tapi ada foto yang aneh aneh,"['bagus', 'tapi', 'ada', 'foto', 'yang', 'aneh', 'aneh']","['bagus', 'foto', 'aneh', 'aneh']",bagus foto aneh aneh
salam,biarkan bintang berbicara ⭐,4,2025-04-29 23:40:35,biarkan bintang berbicara ,biarkan bintang berbicara ,biarkan bintang berbicara,"['biarkan', 'bintang', 'berbicara']","['biarkan', 'bintang', 'berbicara']",biar bintang bicara
Ranti Feranti,leggg terus tapi bagusss,3,2025-04-29 22:26:03,leggg terus tapi bagusss,leggg terus tapi bagusss,leggg terus tapi bagus,"['leggg', 'terus', 'tapi', 'bagus']","['leggg', 'bagus']",leggg bagus
Bung Tama17,kenapa gabisa buka?,2,2025-04-29 20:07:01,kenapa gabisa buka,kenapa gabisa buka,kenapa buka,"['kenapa', 'buka']",['buka'],buka
Mochamad Seno,Bintang 5,5,2025-04-29 17:47:08,Bintang ,bintang ,bintang,['bintang'],['bintang'],bintang
ali zainal,susah masuknya g suka aku sama pinterest😭😭,1,2025-04-29 16:01:52,susah masuknya g suka aku sama pinterest,susah masuknya g suka aku sama pinterest,susah masuknya tidak suka aku sama pinterest,"['susah', 'masuknya', 'tidak', 'suka', 'aku', 'sama', 'pinterest']","['susah', 'masuknya', 'suka', 'pinterest']",susah masuk suka pinterest
La La,"Aplikasi ini berguna banget, dengan Aplikasi ini kalian bisa mencari foto-foto yang kalian inginkan mulai dari makanan, hewan, artist, idol, dan masih banyak lainnya. ga nyesel deh download ini udah Aplikasi ga berat, Aplikasi ini cocok di hp kalian.",5,2025-04-29 15:17:04,Aplikasi ini berguna banget dengan Aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya ga nyesel deh download ini udah Aplikasi ga berat Aplikasi ini cocok di hp kalian,aplikasi ini berguna banget dengan aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya ga nyesel deh download ini udah aplikasi ga berat aplikasi ini cocok di hp kalian,aplikasi ini berguna banget dengan aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya tidak menyesal deh download ini sudah aplikasi tidak berat aplikasi ini cocok di hp kalian,"['aplikasi', 'ini', 'berguna', 'banget', 'dengan', 'aplikasi', 'ini', 'kalian', 'bisa', 'mencari', 'fotofoto', 'yang', 'kalian', 'inginkan', 'mulai', 'dari', 'makanan', 'hewan', 'artist', 'idol', 'dan', 'masih', 'banyak', 'lainnya', 'tidak', 'menyesal', 'deh', 'download', 'ini', 'sudah', 'aplikasi', 'tidak', 'berat', 'aplikasi', 'ini', 'cocok', 'di', 'hp', 'kalian']","['aplikasi', 'berguna', 'banget', 'aplikasi', 'mencari', 'fotofoto', 'makanan', 'hewan', 'artist', 'idol', 'menyesal', 'deh', 'download', 'aplikasi', 'berat', 'aplikasi', 'cocok', 'hp']",aplikasi guna banget aplikasi cari fotofoto makan hewan artist idol sesal deh download aplikasi berat aplikasi cocok hp
Anita Dewi Hartini Anita Dewi Hartini,tiba tiba akun saya dinonaktifkan,1,2025-04-29 14:08:12,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,"['tiba', 'tiba', 'akun', 'saya', 'dinonaktifkan']","['akun', 'dinonaktifkan']",akun nonaktif
Shafa Rahman,bagus banget,5,2025-04-29 13:57:24,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
Mozaa Zalinaa,gabisa ngambil vidio,1,2025-04-29 13:45:15,gabisa ngambil vidio,gabisa ngambil vidio,ngambil vidio,"['ngambil', 'vidio']","['ngambil', 'vidio']",ngambil vidio
Naura airina Putri,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,5,2025-04-29 13:37:14,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang tidak ada gambarnya tapi jujur bagus banget sih,"['ini', 'bagus', 'sih', 'cuma', 'kadang', 'kadang', 'tidak', 'ada', 'gambarnya', 'tapi', 'jujur', 'bagus', 'banget', 'sih']","['bagus', 'sih', 'kadang', 'kadang', 'gambarnya', 'jujur', 'bagus', 'banget', 'sih']",bagus sih kadang kadang gambar jujur bagus banget sih
Alfin Adriansyah,dikit dikit akun diblokirr emang salah apa si?!!!!!! gw kaga nyimpen aneh anehh,1,2025-04-29 13:27:37,dikit dikit akun diblokirr emang salah apa si gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr emang salah apa si gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr memang salah apa sih gue kagak menyimpan aneh anehh,"['dikit', 'dikit', 'akun', 'diblokirr', 'memang', 'salah', 'apa', 'sih', 'gue', 'kagak', 'menyimpan', 'aneh', 'anehh']","['dikit', 'dikit', 'akun', 'diblokirr', 'salah', 'sih', 'gue', 'kagak', 'menyimpan', 'aneh', 'anehh']",dikit dikit akun diblokirr salah sih gue kagak simpan aneh anehh
