at,userName,score,content,cleaning,case_folding,normalisasi,tokenize,stopword removal,stemming_data
2025-04-30 13:36:31,Syamsul Arifin,5,😍😍😍,,,,[],[],
2025-04-30 13:23:14,husna haq,5,bagus,bagus,bagus,bagus,['bagus'],['bagus'],bagus
2025-04-30 13:00:14,Muhammad Adin,1,gua yang cuma liat dinonaktifkan... gimana dengan si pembuat konten yang gua liat? app sepi sok sok suci,gua yang cuma liat dinonaktifkan gimana dengan si pembuat konten yang gua liat app sepi sok sok suci,gua yang cuma liat dinonaktifkan gimana dengan si pembuat konten yang gua liat app sepi sok sok suci,gua yang cuma lihat dinonaktifkan bagaimana dengan sih pembuat konten yang gua lihat app sepi sok sok suci,"['gua', 'yang', 'cuma', 'lihat', 'dinonaktifkan', 'bagaimana', 'dengan', 'sih', 'pembuat', 'konten', 'yang', 'gua', 'lihat', 'app', 'sepi', 'sok', 'sok', 'suci']","['gua', 'lihat', 'dinonaktifkan', 'sih', 'pembuat', 'konten', 'gua', 'lihat', 'app', 'sepi', 'sok', 'sok', 'suci']",gua lihat nonaktif sih buat konten gua lihat app sepi sok sok suci
2025-04-30 12:59:32,Fara fahira Fadia,1,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat 2005 gk bisa 1900 gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat  gk bisa  gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat  gk bisa  gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,bagaimana sih cara masuk nya sudah buat tanggal lahir tidak bisa masuk buat tidak bisa tidak bisa tidak jelas apk nya semoga di betul kan lagi ya min pinterest,"['bagaimana', 'sih', 'cara', 'masuk', 'nya', 'sudah', 'buat', 'tanggal', 'lahir', 'tidak', 'bisa', 'masuk', 'buat', 'tidak', 'bisa', 'tidak', 'bisa', 'tidak', 'jelas', 'apk', 'nya', 'semoga', 'di', 'betul', 'kan', 'lagi', 'ya', 'min', 'pinterest']","['sih', 'masuk', 'nya', 'tanggal', 'lahir', 'masuk', 'apk', 'nya', 'semoga', 'ya', 'min', 'pinterest']",sih masuk nya tanggal lahir masuk apk nya moga ya min pinterest
2025-04-30 12:39:12,Faeyza Bagas,3,daftar umur nya udah berapa kali tapi gak bisa,daftar umur nya udah berapa kali tapi gak bisa,daftar umur nya udah berapa kali tapi gak bisa,daftar umur ya sudah berapa kali tapi tidak bisa,"['daftar', 'umur', 'ya', 'sudah', 'berapa', 'kali', 'tapi', 'tidak', 'bisa']","['daftar', 'umur', 'ya', 'kali']",daftar umur ya kali
2025-04-30 12:36:54,mes,1,ai slop,ai slop,ai slop,ai slop,"['ai', 'slop']","['ai', 'slop']",ai slop
2025-04-30 12:35:44,Ahmad Haizunnajah Ijun aja,5,baguss,baguss,baguss,bagus,['bagus'],['bagus'],bagus
2025-04-30 12:11:23,uɐɯıɐןns,5,sangat memuaskan apk ini 😇😇😇,sangat memuaskan apk ini ,sangat memuaskan apk ini ,sangat memuaskan apk ini,"['sangat', 'memuaskan', 'apk', 'ini']","['memuaskan', 'apk']",muas apk
2025-04-30 12:02:04,Kacer Mania,1,"Halo pinterest,aku suka sih sama apk nyaaa,tapi gimana ya sekarang gak bisa masuk lagiii,kaya tentang masalah akun gitu lah,atau aku ke blokir atau apa? soalnya kaya ga bisa gitu dari ulang kaya login baruuu,pdahal aku udh loginn,pas aku coba login lagi,aku gabisaa,gimana ya? tolong dong,butuh bgt buat ref gambar🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",Halo pinterestaku suka sih sama apk nyaaatapi gimana ya sekarang gak bisa masuk lagiiikaya tentang masalah akun gitu lahatau aku ke blokir atau apa soalnya kaya ga bisa gitu dari ulang kaya login baruuupdahal aku udh loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh bgt buat ref gambar,halo pinterestaku suka sih sama apk nyaaatapi gimana ya sekarang gak bisa masuk lagiiikaya tentang masalah akun gitu lahatau aku ke blokir atau apa soalnya kaya ga bisa gitu dari ulang kaya login baruuupdahal aku udh loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh bgt buat ref gambar,halo pinterestaku suka sih sama apk nyaaatapi bagaimana ya sekarang tidak bisa masuk lagiiikaya tentang masalah akun begitu lahatau aku ke blokir atau apa soalnya kayak tidak bisa begitu dari ulang kayak login baruuupdahal aku sudah loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh banget buat ref gambar,"['halo', 'pinterestaku', 'suka', 'sih', 'sama', 'apk', 'nyaaatapi', 'bagaimana', 'ya', 'sekarang', 'tidak', 'bisa', 'masuk', 'lagiiikaya', 'tentang', 'masalah', 'akun', 'begitu', 'lahatau', 'aku', 'ke', 'blokir', 'atau', 'apa', 'soalnya', 'kayak', 'tidak', 'bisa', 'begitu', 'dari', 'ulang', 'kayak', 'login', 'baruuupdahal', 'aku', 'sudah', 'loginnpas', 'aku', 'coba', 'login', 'lagiaku', 'gabisaagimana', 'ya', 'tolong', 'dongbutuh', 'banget', 'buat', 'ref', 'gambar']","['halo', 'pinterestaku', 'suka', 'sih', 'apk', 'nyaaatapi', 'ya', 'masuk', 'lagiiikaya', 'akun', 'lahatau', 'blokir', 'kayak', 'ulang', 'kayak', 'login', 'baruuupdahal', 'loginnpas', 'coba', 'login', 'lagiaku', 'gabisaagimana', 'ya', 'tolong', 'dongbutuh', 'banget', 'ref', 'gambar']",halo pinterestaku suka sih apk nyaaatapi ya masuk lagiiikaya akun lahatau blokir kayak ulang kayak login baruuupdahal loginnpas coba login lagiaku gabisaagimana ya tolong dongbutuh banget ref gambar
2025-04-30 11:04:02,eldeanda apryloisa,5,"UNTUK REFERENSI, TERMASUK FOTO KARTUN & BIAS KOMPLIT ♡",UNTUK REFERENSI TERMASUK FOTO KARTUN  BIAS KOMPLIT ,untuk referensi termasuk foto kartun  bias komplit ,untuk referensi termasuk foto kartun bias komplit,"['untuk', 'referensi', 'termasuk', 'foto', 'kartun', 'bias', 'komplit']","['referensi', 'foto', 'kartun', 'bias', 'komplit']",referensi foto kartun bias komplit
2025-04-30 10:20:23,Pribadi Akbar,5,😁😋,,,,[],[],
2025-04-30 09:57:41,Kesya 123,1,jelek,jelek,jelek,jelek,['jelek'],['jelek'],jelek
2025-04-30 09:57:17,Risto gaber,5,mantap jg TPI kenapa skarang banyak iklanya y,mantap jg TPI kenapa skarang banyak iklanya y,mantap jg tpi kenapa skarang banyak iklanya y,mantap juga tapi kenapa sekarang banyak iklanya ya,"['mantap', 'juga', 'tapi', 'kenapa', 'sekarang', 'banyak', 'iklanya', 'ya']","['mantap', 'iklanya', 'ya']",mantap iklanya ya
2025-04-30 09:51:18,siswanto ramelan,5,pinterest sangat membantu pekerjaan kami sebagai design batik. terima kasih pinterest..,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,"['pinterest', 'sangat', 'membantu', 'pekerjaan', 'kami', 'sebagai', 'design', 'batik', 'terima', 'kasih', 'pinterest']","['pinterest', 'membantu', 'pekerjaan', 'design', 'batik', 'terima', 'kasih', 'pinterest']",pinterest bantu kerja design batik terima kasih pinterest
2025-04-30 08:40:34,Poniati Poniati,1,"KENAPA PAS SAYA MASUK DAN BIKIN AKU GAK BISA TERUS,SAYA SUDAH MENGULANGINYA SAMPAI 13 KALI LOH",KENAPA PAS SAYA MASUK DAN BIKIN AKU GAK BISA TERUSSAYA SUDAH MENGULANGINYA SAMPAI  KALI LOH,kenapa pas saya masuk dan bikin aku gak bisa terussaya sudah mengulanginya sampai  kali loh,kenapa pas saya masuk dan bikin aku tidak bisa terussaya sudah mengulanginya sampai kali loh,"['kenapa', 'pas', 'saya', 'masuk', 'dan', 'bikin', 'aku', 'tidak', 'bisa', 'terussaya', 'sudah', 'mengulanginya', 'sampai', 'kali', 'loh']","['pas', 'masuk', 'bikin', 'terussaya', 'mengulanginya', 'kali', 'loh']",pas masuk bikin terussaya ulang kali loh
2025-04-30 07:59:31,Ricky saputra,5,mantappp,mantappp,mantappp,mantap,['mantap'],['mantap'],mantap
2025-04-30 07:55:58,Arjuna Ari,5,mantap,mantap,mantap,mantap,['mantap'],['mantap'],mantap
2025-04-30 06:57:16,Hafizah Nurul Khazanah,5,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww aplikasi ini sangat bagus bisa membantu saya kan hobinya menggambar jadi aplikasi ini coba untuk aku aplikasi ini juga bisa mengedit foto saya suka aplikasi ini cocok untuk mencari infirasi,"['waoowwww', 'aplikasi', 'ini', 'sangat', 'bagus', 'bisa', 'membantu', 'saya', 'kan', 'hobinya', 'menggambar', 'jadi', 'aplikasi', 'ini', 'coba', 'untuk', 'aku', 'aplikasi', 'ini', 'juga', 'bisa', 'mengedit', 'foto', 'saya', 'suka', 'aplikasi', 'ini', 'cocok', 'untuk', 'mencari', 'infirasi']","['waoowwww', 'aplikasi', 'bagus', 'membantu', 'hobinya', 'menggambar', 'aplikasi', 'coba', 'aplikasi', 'mengedit', 'foto', 'suka', 'aplikasi', 'cocok', 'mencari', 'infirasi']",waoowwww aplikasi bagus bantu hobi gambar aplikasi coba aplikasi edit foto suka aplikasi cocok cari infirasi
2025-04-30 06:45:14,Nabil fayyadh,5,temen gw suka PP nya🙏🗿👍,temen gw suka PP nya,temen gw suka pp nya,teman gue suka pp ya,"['teman', 'gue', 'suka', 'pp', 'ya']","['teman', 'gue', 'suka', 'pp', 'ya']",teman gue suka pp ya
2025-04-30 06:38:07,Sri Fanaya,1,gak bisa di daftar,gak bisa di daftar,gak bisa di daftar,tidak bisa di daftar,"['tidak', 'bisa', 'di', 'daftar']",['daftar'],daftar
2025-04-30 05:14:39,anya forger,5,"apk nya bagus buat nyari banyak gambar, tapi setelah di update kok malah eror.. kadang buat save gambar ga bisa, ga ke save. tolong diperbaiki, suka kesel sendiri kalau gabisa di save gitu",apk nya bagus buat nyari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar ga bisa ga ke save tolong diperbaiki suka kesel sendiri kalau gabisa di save gitu,apk nya bagus buat nyari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar ga bisa ga ke save tolong diperbaiki suka kesel sendiri kalau gabisa di save gitu,apk ya bagus buat mencari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar tidak bisa tidak ke save tolong diperbaiki suka kesel sendiri kalau di save begitu,"['apk', 'ya', 'bagus', 'buat', 'mencari', 'banyak', 'gambar', 'tapi', 'setelah', 'di', 'update', 'kok', 'malah', 'eror', 'kadang', 'buat', 'save', 'gambar', 'tidak', 'bisa', 'tidak', 'ke', 'save', 'tolong', 'diperbaiki', 'suka', 'kesel', 'sendiri', 'kalau', 'di', 'save', 'begitu']","['apk', 'ya', 'bagus', 'mencari', 'gambar', 'update', 'eror', 'kadang', 'save', 'gambar', 'save', 'tolong', 'diperbaiki', 'suka', 'kesel', 'save']",apk ya bagus cari gambar update eror kadang save gambar save tolong baik suka kesel save
2025-04-30 04:18:37,hakim 2810,1,"kalau habis mengunduh gambar sering kepencet bagikan, tolong fitur habis download GK usah ada pop up",kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download GK usah ada pop up,kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download gk usah ada pop up,kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download tidak usah ada pop up,"['kalau', 'habis', 'mengunduh', 'gambar', 'sering', 'kepencet', 'bagikan', 'tolong', 'fitur', 'habis', 'download', 'tidak', 'usah', 'ada', 'pop', 'up']","['habis', 'mengunduh', 'gambar', 'kepencet', 'bagikan', 'tolong', 'fitur', 'habis', 'download', 'pop', 'up']",habis unduh gambar pencet bagi tolong fitur habis download pop up
2025-04-30 04:16:41,kayla aliyarni,5,bagus aplikasi nya,bagus aplikasi nya,bagus aplikasi nya,bagus aplikasi ya,"['bagus', 'aplikasi', 'ya']","['bagus', 'aplikasi', 'ya']",bagus aplikasi ya
2025-04-30 03:27:55,Meliana kharisma Putri,5,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,mencari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pakai buat gambar,"['mencari', 'referensi', 'mudahh', 'banget', 'apalagi', 'di', 'sini', 'banyak', 'contoh', 'yang', 'bisa', 'di', 'pakai', 'buat', 'gambar']","['mencari', 'referensi', 'mudahh', 'banget', 'contoh', 'pakai', 'gambar']",cari referensi mudahh banget contoh pakai gambar
2025-04-30 03:12:11,RAMZI_PASYA Ramzi,5,mengesankan 👍👍👍,mengesankan ,mengesankan ,mengesankan,['mengesankan'],['mengesankan'],kesan
2025-04-30 02:52:14,Ai teuis Sumiyati 94,5,knapa ga bisa meng instal beri jawaban,knapa ga bisa meng instal beri jawaban,knapa ga bisa meng instal beri jawaban,knapa tidak bisa meng instal beri jawaban,"['knapa', 'tidak', 'bisa', 'meng', 'instal', 'beri', 'jawaban']","['knapa', 'meng', 'instal']",knapa meng instal
2025-04-30 02:26:31,Ghaitsa Ku,4,bagus tpi ad fto yang aneh aneh,bagus tpi ad fto yang aneh aneh,bagus tpi ad fto yang aneh aneh,bagus tapi ada foto yang aneh aneh,"['bagus', 'tapi', 'ada', 'foto', 'yang', 'aneh', 'aneh']","['bagus', 'foto', 'aneh', 'aneh']",bagus foto aneh aneh
2025-04-29 23:40:35,salam,4,biarkan bintang berbicara ⭐,biarkan bintang berbicara ,biarkan bintang berbicara ,biarkan bintang berbicara,"['biarkan', 'bintang', 'berbicara']","['biarkan', 'bintang', 'berbicara']",biar bintang bicara
2025-04-29 22:26:03,Ranti Feranti,3,leggg terus tapi bagusss,leggg terus tapi bagusss,leggg terus tapi bagusss,leggg terus tapi bagus,"['leggg', 'terus', 'tapi', 'bagus']","['leggg', 'bagus']",leggg bagus
2025-04-29 20:07:01,Bung Tama17,2,kenapa gabisa buka?,kenapa gabisa buka,kenapa gabisa buka,kenapa buka,"['kenapa', 'buka']",['buka'],buka
2025-04-29 17:47:08,Mochamad Seno,5,Bintang 5,Bintang ,bintang ,bintang,['bintang'],['bintang'],bintang
2025-04-29 16:01:52,ali zainal,1,susah masuknya g suka aku sama pinterest😭😭,susah masuknya g suka aku sama pinterest,susah masuknya g suka aku sama pinterest,susah masuknya tidak suka aku sama pinterest,"['susah', 'masuknya', 'tidak', 'suka', 'aku', 'sama', 'pinterest']","['susah', 'masuknya', 'suka', 'pinterest']",susah masuk suka pinterest
2025-04-29 15:17:04,La La,5,"Aplikasi ini berguna banget, dengan Aplikasi ini kalian bisa mencari foto-foto yang kalian inginkan mulai dari makanan, hewan, artist, idol, dan masih banyak lainnya. ga nyesel deh download ini udah Aplikasi ga berat, Aplikasi ini cocok di hp kalian.",Aplikasi ini berguna banget dengan Aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya ga nyesel deh download ini udah Aplikasi ga berat Aplikasi ini cocok di hp kalian,aplikasi ini berguna banget dengan aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya ga nyesel deh download ini udah aplikasi ga berat aplikasi ini cocok di hp kalian,aplikasi ini berguna banget dengan aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya tidak menyesal deh download ini sudah aplikasi tidak berat aplikasi ini cocok di hp kalian,"['aplikasi', 'ini', 'berguna', 'banget', 'dengan', 'aplikasi', 'ini', 'kalian', 'bisa', 'mencari', 'fotofoto', 'yang', 'kalian', 'inginkan', 'mulai', 'dari', 'makanan', 'hewan', 'artist', 'idol', 'dan', 'masih', 'banyak', 'lainnya', 'tidak', 'menyesal', 'deh', 'download', 'ini', 'sudah', 'aplikasi', 'tidak', 'berat', 'aplikasi', 'ini', 'cocok', 'di', 'hp', 'kalian']","['aplikasi', 'berguna', 'banget', 'aplikasi', 'mencari', 'fotofoto', 'makanan', 'hewan', 'artist', 'idol', 'menyesal', 'deh', 'download', 'aplikasi', 'berat', 'aplikasi', 'cocok', 'hp']",aplikasi guna banget aplikasi cari fotofoto makan hewan artist idol sesal deh download aplikasi berat aplikasi cocok hp
2025-04-29 14:08:12,Anita Dewi Hartini Anita Dewi Hartini,1,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,"['tiba', 'tiba', 'akun', 'saya', 'dinonaktifkan']","['akun', 'dinonaktifkan']",akun nonaktif
2025-04-29 13:57:24,Shafa Rahman,5,bagus banget,bagus banget,bagus banget,bagus banget,"['bagus', 'banget']","['bagus', 'banget']",bagus banget
2025-04-29 13:45:15,Mozaa Zalinaa,1,gabisa ngambil vidio,gabisa ngambil vidio,gabisa ngambil vidio,ngambil vidio,"['ngambil', 'vidio']","['ngambil', 'vidio']",ngambil vidio
2025-04-29 13:37:14,Naura airina Putri,5,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang tidak ada gambarnya tapi jujur bagus banget sih,"['ini', 'bagus', 'sih', 'cuma', 'kadang', 'kadang', 'tidak', 'ada', 'gambarnya', 'tapi', 'jujur', 'bagus', 'banget', 'sih']","['bagus', 'sih', 'kadang', 'kadang', 'gambarnya', 'jujur', 'bagus', 'banget', 'sih']",bagus sih kadang kadang gambar jujur bagus banget sih
2025-04-29 13:27:37,Alfin Adriansyah,1,dikit dikit akun diblokirr emang salah apa si?!!!!!! gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr emang salah apa si gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr emang salah apa si gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr memang salah apa sih gue kagak menyimpan aneh anehh,"['dikit', 'dikit', 'akun', 'diblokirr', 'memang', 'salah', 'apa', 'sih', 'gue', 'kagak', 'menyimpan', 'aneh', 'anehh']","['dikit', 'dikit', 'akun', 'diblokirr', 'salah', 'sih', 'gue', 'kagak', 'menyimpan', 'aneh', 'anehh']",dikit dikit akun diblokirr salah sih gue kagak simpan aneh anehh
