at,userName,score,content,cleaning,case_folding,normalisasi,stemming_data,sentiment
2025-04-30 13:23:14,husna haq,5,bagus,bagus,bagus,bagus,bagus,Positif
2025-04-30 13:00:14,Muhammad Adin,1,gua yang cuma liat dinonaktifkan... gimana dengan si pembuat konten yang gua liat? app sepi sok sok suci,gua yang cuma liat dinonaktifkan gimana dengan si pembuat konten yang gua liat app sepi sok sok suci,gua yang cuma liat dinonaktifkan gimana dengan si pembuat konten yang gua liat app sepi sok sok suci,gua yang cuma lihat dinonaktifkan bagaimana dengan sih pembuat konten yang gua lihat app sepi sok sok suci,gua lihat nonaktif sih buat konten gua lihat app sepi sok sok suci,Negatif
2025-04-30 12:59:32,Fara fahira Fadia,1,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat 2005 gk bisa 1900 gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat  gk bisa  gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,gimna sih cara masuk ny udh buat tanggal lahir gk bisa masuk buat  gk bisa  gk bisa gk jelas apk ny semoga di betul kan lagi y min pinterest,bagaimana sih cara masuk nya sudah buat tanggal lahir tidak bisa masuk buat tidak bisa tidak bisa tidak jelas apk nya semoga di betul kan lagi ya min pinterest,sih masuk nya tanggal lahir masuk apk nya moga ya min pinterest,Negatif
2025-04-30 12:39:12,Faeyza Bagas,3,daftar umur nya udah berapa kali tapi gak bisa,daftar umur nya udah berapa kali tapi gak bisa,daftar umur nya udah berapa kali tapi gak bisa,daftar umur ya sudah berapa kali tapi tidak bisa,daftar umur ya kali,Negatif
2025-04-30 12:36:54,mes,1,ai slop,ai slop,ai slop,ai slop,ai slop,Negatif
2025-04-30 12:35:44,Ahmad Haizunnajah Ijun aja,5,baguss,baguss,baguss,bagus,bagus,Positif
2025-04-30 12:11:23,uɐɯıɐןns,5,sangat memuaskan apk ini 😇😇😇,sangat memuaskan apk ini ,sangat memuaskan apk ini ,sangat memuaskan apk ini,muas apk,Positif
2025-04-30 12:02:04,Kacer Mania,1,"Halo pinterest,aku suka sih sama apk nyaaa,tapi gimana ya sekarang gak bisa masuk lagiii,kaya tentang masalah akun gitu lah,atau aku ke blokir atau apa? soalnya kaya ga bisa gitu dari ulang kaya login baruuu,pdahal aku udh loginn,pas aku coba login lagi,aku gabisaa,gimana ya? tolong dong,butuh bgt buat ref gambar🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻",Halo pinterestaku suka sih sama apk nyaaatapi gimana ya sekarang gak bisa masuk lagiiikaya tentang masalah akun gitu lahatau aku ke blokir atau apa soalnya kaya ga bisa gitu dari ulang kaya login baruuupdahal aku udh loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh bgt buat ref gambar,halo pinterestaku suka sih sama apk nyaaatapi gimana ya sekarang gak bisa masuk lagiiikaya tentang masalah akun gitu lahatau aku ke blokir atau apa soalnya kaya ga bisa gitu dari ulang kaya login baruuupdahal aku udh loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh bgt buat ref gambar,halo pinterestaku suka sih sama apk nyaaatapi bagaimana ya sekarang tidak bisa masuk lagiiikaya tentang masalah akun begitu lahatau aku ke blokir atau apa soalnya kayak tidak bisa begitu dari ulang kayak login baruuupdahal aku sudah loginnpas aku coba login lagiaku gabisaagimana ya tolong dongbutuh banget buat ref gambar,halo pinterestaku suka sih apk nyaaatapi ya masuk lagiiikaya akun lahatau blokir kayak ulang kayak login baruuupdahal loginnpas coba login lagiaku gabisaagimana ya tolong dongbutuh banget ref gambar,Negatif
2025-04-30 11:04:02,eldeanda apryloisa,5,"UNTUK REFERENSI, TERMASUK FOTO KARTUN & BIAS KOMPLIT ♡",UNTUK REFERENSI TERMASUK FOTO KARTUN  BIAS KOMPLIT ,untuk referensi termasuk foto kartun  bias komplit ,untuk referensi termasuk foto kartun bias komplit,referensi foto kartun bias komplit,Positif
2025-04-30 09:57:41,Kesya 123,1,jelek,jelek,jelek,jelek,jelek,Negatif
2025-04-30 09:57:17,Risto gaber,5,mantap jg TPI kenapa skarang banyak iklanya y,mantap jg TPI kenapa skarang banyak iklanya y,mantap jg tpi kenapa skarang banyak iklanya y,mantap juga tapi kenapa sekarang banyak iklanya ya,mantap iklanya ya,Positif
2025-04-30 09:51:18,siswanto ramelan,5,pinterest sangat membantu pekerjaan kami sebagai design batik. terima kasih pinterest..,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,pinterest sangat membantu pekerjaan kami sebagai design batik terima kasih pinterest,pinterest bantu kerja design batik terima kasih pinterest,Positif
2025-04-30 08:40:34,Poniati Poniati,1,"KENAPA PAS SAYA MASUK DAN BIKIN AKU GAK BISA TERUS,SAYA SUDAH MENGULANGINYA SAMPAI 13 KALI LOH",KENAPA PAS SAYA MASUK DAN BIKIN AKU GAK BISA TERUSSAYA SUDAH MENGULANGINYA SAMPAI  KALI LOH,kenapa pas saya masuk dan bikin aku gak bisa terussaya sudah mengulanginya sampai  kali loh,kenapa pas saya masuk dan bikin aku tidak bisa terussaya sudah mengulanginya sampai kali loh,pas masuk bikin terussaya ulang kali loh,Negatif
2025-04-30 07:59:31,Ricky saputra,5,mantappp,mantappp,mantappp,mantap,mantap,Positif
2025-04-30 07:55:58,Arjuna Ari,5,mantap,mantap,mantap,mantap,mantap,Positif
2025-04-30 06:57:16,Hafizah Nurul Khazanah,5,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww applikasi ini sangat bagus bisa membantu saya kannn hobinya menggambar jadi applikasi ini coba untuk aku applikasi ini juga bisa mengedit foto saya suka applikasi ini cocok untuk mencari infirasi,waoowwww aplikasi ini sangat bagus bisa membantu saya kan hobinya menggambar jadi aplikasi ini coba untuk aku aplikasi ini juga bisa mengedit foto saya suka aplikasi ini cocok untuk mencari infirasi,waoowwww aplikasi bagus bantu hobi gambar aplikasi coba aplikasi edit foto suka aplikasi cocok cari infirasi,Positif
2025-04-30 06:45:14,Nabil fayyadh,5,temen gw suka PP nya🙏🗿👍,temen gw suka PP nya,temen gw suka pp nya,teman gue suka pp ya,teman gue suka pp ya,Positif
2025-04-30 06:38:07,Sri Fanaya,1,gak bisa di daftar,gak bisa di daftar,gak bisa di daftar,tidak bisa di daftar,daftar,Negatif
2025-04-30 05:14:39,anya forger,5,"apk nya bagus buat nyari banyak gambar, tapi setelah di update kok malah eror.. kadang buat save gambar ga bisa, ga ke save. tolong diperbaiki, suka kesel sendiri kalau gabisa di save gitu",apk nya bagus buat nyari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar ga bisa ga ke save tolong diperbaiki suka kesel sendiri kalau gabisa di save gitu,apk nya bagus buat nyari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar ga bisa ga ke save tolong diperbaiki suka kesel sendiri kalau gabisa di save gitu,apk ya bagus buat mencari banyak gambar tapi setelah di update kok malah eror kadang buat save gambar tidak bisa tidak ke save tolong diperbaiki suka kesel sendiri kalau di save begitu,apk ya bagus cari gambar update eror kadang save gambar save tolong baik suka kesel save,Positif
2025-04-30 04:18:37,hakim 2810,1,"kalau habis mengunduh gambar sering kepencet bagikan, tolong fitur habis download GK usah ada pop up",kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download GK usah ada pop up,kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download gk usah ada pop up,kalau habis mengunduh gambar sering kepencet bagikan tolong fitur habis download tidak usah ada pop up,habis unduh gambar pencet bagi tolong fitur habis download pop up,Negatif
2025-04-30 04:16:41,kayla aliyarni,5,bagus aplikasi nya,bagus aplikasi nya,bagus aplikasi nya,bagus aplikasi ya,bagus aplikasi ya,Positif
2025-04-30 03:27:55,Meliana kharisma Putri,5,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,nyari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pake buat gambar,mencari referensi mudahh banget apalagi di sini banyak contoh yang bisa di pakai buat gambar,cari referensi mudahh banget contoh pakai gambar,Positif
2025-04-30 03:12:11,RAMZI_PASYA Ramzi,5,mengesankan 👍👍👍,mengesankan ,mengesankan ,mengesankan,kesan,Positif
2025-04-30 02:52:14,Ai teuis Sumiyati 94,5,knapa ga bisa meng instal beri jawaban,knapa ga bisa meng instal beri jawaban,knapa ga bisa meng instal beri jawaban,knapa tidak bisa meng instal beri jawaban,knapa meng instal,Positif
2025-04-30 02:26:31,Ghaitsa Ku,4,bagus tpi ad fto yang aneh aneh,bagus tpi ad fto yang aneh aneh,bagus tpi ad fto yang aneh aneh,bagus tapi ada foto yang aneh aneh,bagus foto aneh aneh,Positif
2025-04-29 23:40:35,salam,4,biarkan bintang berbicara ⭐,biarkan bintang berbicara ,biarkan bintang berbicara ,biarkan bintang berbicara,biar bintang bicara,Positif
2025-04-29 22:26:03,Ranti Feranti,3,leggg terus tapi bagusss,leggg terus tapi bagusss,leggg terus tapi bagusss,leggg terus tapi bagus,leggg bagus,Negatif
2025-04-29 20:07:01,Bung Tama17,2,kenapa gabisa buka?,kenapa gabisa buka,kenapa gabisa buka,kenapa buka,buka,Negatif
2025-04-29 17:47:08,Mochamad Seno,5,Bintang 5,Bintang ,bintang ,bintang,bintang,Positif
2025-04-29 16:01:52,ali zainal,1,susah masuknya g suka aku sama pinterest😭😭,susah masuknya g suka aku sama pinterest,susah masuknya g suka aku sama pinterest,susah masuknya tidak suka aku sama pinterest,susah masuk suka pinterest,Negatif
2025-04-29 15:17:04,La La,5,"Aplikasi ini berguna banget, dengan Aplikasi ini kalian bisa mencari foto-foto yang kalian inginkan mulai dari makanan, hewan, artist, idol, dan masih banyak lainnya. ga nyesel deh download ini udah Aplikasi ga berat, Aplikasi ini cocok di hp kalian.",Aplikasi ini berguna banget dengan Aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya ga nyesel deh download ini udah Aplikasi ga berat Aplikasi ini cocok di hp kalian,aplikasi ini berguna banget dengan aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya ga nyesel deh download ini udah aplikasi ga berat aplikasi ini cocok di hp kalian,aplikasi ini berguna banget dengan aplikasi ini kalian bisa mencari fotofoto yang kalian inginkan mulai dari makanan hewan artist idol dan masih banyak lainnya tidak menyesal deh download ini sudah aplikasi tidak berat aplikasi ini cocok di hp kalian,aplikasi guna banget aplikasi cari fotofoto makan hewan artist idol sesal deh download aplikasi berat aplikasi cocok hp,Positif
2025-04-29 14:08:12,Anita Dewi Hartini Anita Dewi Hartini,1,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,tiba tiba akun saya dinonaktifkan,akun nonaktif,Negatif
2025-04-29 13:57:24,Shafa Rahman,5,bagus banget,bagus banget,bagus banget,bagus banget,bagus banget,Positif
2025-04-29 13:45:15,Mozaa Zalinaa,1,gabisa ngambil vidio,gabisa ngambil vidio,gabisa ngambil vidio,ngambil vidio,ngambil vidio,Negatif
2025-04-29 13:37:14,Naura airina Putri,5,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang gak ada gambarnya tapi jujur bagus banget sihhh,ini bagus sih cuma kadang kadang tidak ada gambarnya tapi jujur bagus banget sih,bagus sih kadang kadang gambar jujur bagus banget sih,Positif
2025-04-29 13:27:37,Alfin Adriansyah,1,dikit dikit akun diblokirr emang salah apa si?!!!!!! gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr emang salah apa si gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr emang salah apa si gw kaga nyimpen aneh anehh,dikit dikit akun diblokirr memang salah apa sih gue kagak menyimpan aneh anehh,dikit dikit akun diblokirr salah sih gue kagak simpan aneh anehh,Negatif
2025-04-29 13:24:28,Derry Andreanto,1,"apalah notifikasi segede gaban ganggu orang main game aja, menurut ku bagus tapi kecilin lah notifikasi nya ganggu orang main game aja cok",apalah notifikasi segede gaban ganggu orang main game aja menurut ku bagus tapi kecilin lah notifikasi nya ganggu orang main game aja cok,apalah notifikasi segede gaban ganggu orang main game aja menurut ku bagus tapi kecilin lah notifikasi nya ganggu orang main game aja cok,apalah notifikasi segede gaban ganggu orang main game saja menurut ku bagus tapi kecilin lah notifikasi ya ganggu orang main game saja cok,apa notifikasi gede gaban ganggu orang main game ku bagus kecilin notifikasi ya ganggu orang main game cok,Negatif
2025-04-29 12:35:38,Irvannesse Izz Zaya Sulistyo,4,bagus good excellent amazing,bagus good excellent amazing,bagus good excellent amazing,bagus good excellent amazing,bagus good excellent amazing,Positif
2025-04-29 12:24:09,Nendi Nen,5,sangat bagus,sangat bagus,sangat bagus,sangat bagus,bagus,Positif
2025-04-29 11:25:04,Aziz muzhaffar,2,berat banget aplikasinya,berat banget aplikasinya,berat banget aplikasinya,berat banget aplikasinya,berat banget aplikasi,Negatif
2025-04-29 11:23:24,Dian Dra,5,bagus untuk ngeprank jadi tg😏,bagus untuk ngeprank jadi tg,bagus untuk ngeprank jadi tg,bagus untuk ngeprank jadi tg,bagus ngeprank tg,Positif
2025-04-29 11:12:26,LISTIFAH AYI,5,Bagus aplikasi berguna untuk mengganti wallpaper dan lain-lain👍👍👍👍😁😁,Bagus aplikasi berguna untuk mengganti wallpaper dan lainlain,bagus aplikasi berguna untuk mengganti wallpaper dan lainlain,bagus aplikasi berguna untuk mengganti wallpaper dan lainlain,bagus aplikasi guna ganti wallpaper lainlain,Positif
2025-04-29 10:44:26,bang dat,1,"aneh banget, masa kaga bisa login pake google, Facebook, bahkan email.",aneh banget masa kaga bisa login pake google Facebook bahkan email,aneh banget masa kaga bisa login pake google facebook bahkan email,aneh banget masa kagak bisa login pakai google facebook bahkan email,aneh banget kagak login pakai google facebook email,Negatif
2025-04-29 10:29:47,Ate Driyanto Kriswan,5,"Sangat menyenangkan advonture aneka jenis gambar atau foto, qoute, gambar lucu, kartu ucapan, ilustrasi, gambar fantasi, logo, arsitek, interior, eksterior, mode, wallpaper, dst. Banyak sekali kategori gambarnya. Bisa disimpan di aturan persona, Sangat memuaskan,...",Sangat menyenangkan advonture aneka jenis gambar atau foto qoute gambar lucu kartu ucapan ilustrasi gambar fantasi logo arsitek interior eksterior mode wallpaper dst Banyak sekali kategori gambarnya Bisa disimpan di aturan persona Sangat memuaskan,sangat menyenangkan advonture aneka jenis gambar atau foto qoute gambar lucu kartu ucapan ilustrasi gambar fantasi logo arsitek interior eksterior mode wallpaper dst banyak sekali kategori gambarnya bisa disimpan di aturan persona sangat memuaskan,sangat menyenangkan advonture aneka jenis gambar atau foto qoute gambar lucu kartu ucapan ilustrasi gambar fantasi logo arsitek interior eksterior mode wallpaper dst banyak sekali kategori gambarnya bisa disimpan di aturan persona sangat memuaskan,senang advonture aneka jenis gambar foto qoute gambar lucu kartu ucap ilustrasi gambar fantasi logo arsitek interior eksterior mode wallpaper dst kategori gambar simpan atur persona muas,Positif
2025-04-29 10:03:14,kecoak tempur,5,Bagus buat bikin pov,Bagus buat bikin pov,bagus buat bikin pov,bagus buat bikin pov,bagus bikin pov,Positif
2025-04-29 10:03:03,jiansa putri erjita,5,"suka banget siee, bisa buat recommend tugas tugas sekolah aku",suka banget siee bisa buat recommend tugas tugas sekolah aku,suka banget siee bisa buat recommend tugas tugas sekolah aku,suka banget siee bisa buat recommend tugas tugas sekolah aku,suka banget siee recommend tugas tugas sekolah,Positif
2025-04-29 09:45:58,iwan Terapi dan konseling Qur'ani,5,good,good,good,good,good,Positif
2025-04-29 09:31:47,Early Fillio,5,tmpt reff nya bguss bgttttt buat KLO gmbr pasti LENGKAPP -!!,tmpt reff nya bguss bgttttt buat KLO gmbr pasti LENGKAPP ,tmpt reff nya bguss bgttttt buat klo gmbr pasti lengkapp ,tempat reff ya bguss bgttttt buat kalau gmbr pasti lengkap,reff ya bguss bgttttt gmbr lengkap,Positif
2025-04-29 07:44:09,Abigail Cntk12,1,so karang Pinterest pake tanggal lahir 😑,so karang Pinterest pake tanggal lahir ,so karang pinterest pake tanggal lahir ,sok karang pinterest pakai tanggal lahir,sok karang pinterest pakai tanggal lahir,Negatif
2025-04-29 06:23:51,nur Mala,5,"aplikasi nya bgus,sangat membantu untuk mencari ide""",aplikasi nya bgussangat membantu untuk mencari ide,aplikasi nya bgussangat membantu untuk mencari ide,aplikasi ya bgussangat membantu untuk mencari ide,aplikasi ya bgussangat bantu cari ide,Positif
2025-04-29 06:08:46,G,4,"minesnya ga ada tanggal unggahan postingan aj, gatau sih ada apa engga kyknya ga ada yah",minesnya ga ada tanggal unggahan postingan aj gatau sih ada apa engga kyknya ga ada yah,minesnya ga ada tanggal unggahan postingan aj gatau sih ada apa engga kyknya ga ada yah,minesnya tidak ada tanggal unggahan postingan saja sih ada apa tidak kayaknya tidak ada ya,mes tanggal unggah postingan sih kayak ya,Positif
2025-04-29 05:30:50,Freya Freya,5,bagus bet aplikasi nya,bagus bet aplikasi nya,bagus bet aplikasi nya,bagus banget aplikasi ya,bagus banget aplikasi ya,Positif
2025-04-29 05:16:16,Sarifuddin Mapparape,1,"maaf aku kasi bintang 1 karena aku mau masuk, lalu aku kasi umurku, tapi nga bisa udah berulang kali aku coba tetap nga bisa tolong yah di kasi permudah untuk buka apk nya",maaf aku kasi bintang  karena aku mau masuk lalu aku kasi umurku tapi nga bisa udah berulang kali aku coba tetap nga bisa tolong yah di kasi permudah untuk buka apk nya,maaf aku kasi bintang  karena aku mau masuk lalu aku kasi umurku tapi nga bisa udah berulang kali aku coba tetap nga bisa tolong yah di kasi permudah untuk buka apk nya,maaf aku kasih bintang karena aku mau masuk lalu aku kasih umurku tapi tidak bisa sudah berulang kali aku coba tetap tidak bisa tolong ya di kasih permudah untuk buka apk ya,maaf kasih bintang masuk kasih umur ulang kali coba tolong ya kasih mudah buka apk ya,Negatif
2025-04-29 04:18:10,Hilda Via marta,2,ini kenapa yaa kok pas pemasukan usia GK bisaa di lanjutkan tolong ini harus gimana kalo dah gini!!!!,ini kenapa yaa kok pas pemasukan usia GK bisaa di lanjutkan tolong ini harus gimana kalo dah gini,ini kenapa yaa kok pas pemasukan usia gk bisaa di lanjutkan tolong ini harus gimana kalo dah gini,ini kenapa ya kok pas pemasukan usia tidak bisa di lanjutkan tolong ini harus bagaimana kalau sudah begini,ya pas pasu usia lanjut tolong,Negatif
2025-04-29 03:16:25,M.taufik Bintang_1,5,support ♥️💯,support ,support ,support,support,Positif
2025-04-29 02:46:16,Waewed 123,1,akun ku kena band woe 😡😡😭😭😔,akun ku kena band woe ,akun ku kena band woe ,akun ku kena band woe,akun ku kena band woe,Negatif
2025-04-29 01:31:00,Eni Indriani,5,bagus bisa mencari foto itu saja,bagus bisa mencari foto itu saja,bagus bisa mencari foto itu saja,bagus bisa mencari foto itu saja,bagus cari foto,Positif
2025-04-29 00:59:44,Niken Yulianti,5,keren,keren,keren,keren,keren,Positif
2025-04-28 16:32:17,Alhik mah,1,Search nya GK lengkap dan GK akurat,Search nya GK lengkap dan GK akurat,search nya gk lengkap dan gk akurat,search ya tidak lengkap dan tidak akurat,search ya lengkap akurat,Negatif
2025-04-28 16:23:23,Lisna Efiza,5,good...,good,good,good,good,Positif
2025-04-28 15:38:51,Bebek Goreng,5,baguss bngettttt,baguss bngettttt,baguss bngettttt,bagus bngettttt,bagus bngettttt,Positif
2025-04-28 13:09:04,sutrisno trisno,5,BAGUS BGT TITIK!!!,BAGUS BGT TITIK,bagus bgt titik,bagus banget titik,bagus banget titik,Positif
2025-04-28 12:54:11,lana mas,5,Perfect,Perfect,perfect,perfect,perfect,Positif
2025-04-28 12:48:08,viryarambha,5,ok,ok,ok,ok,ok,Positif
2025-04-28 11:11:18,Sienna Br,5,"satu kata ""good""",satu kata good,satu kata good,satu kata good,good,Positif
2025-04-28 09:49:35,Keylaa,5,"bagus bgt, dan yap aku ga tau cara ambil fotonya/simpen, jadinya di screnshot aja😇😔",bagus bgt dan yap aku ga tau cara ambil fotonyasimpen jadinya di screnshot aja,bagus bgt dan yap aku ga tau cara ambil fotonyasimpen jadinya di screnshot aja,bagus banget dan ya aku tidak tau cara ambil fotonyasimpen jadinya di screnshot saja,bagus banget ya tau ambil fotonyasimpen screnshot,Positif
2025-04-28 08:40:31,urlocal kitsune,1,"aneh, saya gak melakukan pelanggaran tapi akun saya kena pelanggaran",aneh saya gak melakukan pelanggaran tapi akun saya kena pelanggaran,aneh saya gak melakukan pelanggaran tapi akun saya kena pelanggaran,aneh saya tidak melakukan pelanggaran tapi akun saya kena pelanggaran,aneh langgar akun kena langgar,Negatif
2025-04-28 08:02:36,Ujung baru,3,baguss ajaa siwh,baguss ajaa siwh,baguss ajaa siwh,bagus saja siwh,bagus siwh,Negatif
2025-04-28 07:50:37,Najwa Hikmatul,1,"akun ku tiba2 di nonaktifkan tanpa alasan, terus suka tiba2 keluar akun padahal gk ngapa2- in. (pokoknya gk suka)",akun ku tiba di nonaktifkan tanpa alasan terus suka tiba keluar akun padahal gk ngapa in pokoknya gk suka,akun ku tiba di nonaktifkan tanpa alasan terus suka tiba keluar akun padahal gk ngapa in pokoknya gk suka,akun ku tiba di nonaktifkan tanpa alasan terus suka tiba keluar akun padahal tidak ngapa ini pokoknya tidak suka,akun ku nonaktif alas suka akun ngapa pokok suka,Negatif
2025-04-28 07:33:26,Hafsah ?,5,bagus dh gitu aja,bagus dh gitu aja,bagus dh gitu aja,bagus dah begitu saja,bagus dah,Positif
2025-04-28 07:02:39,山田光,5,gg apk🤩,gg apk,gg apk,tidak apk,apk,Positif
